关键词,省份,城市,县/区,歌曲名,歌曲类型,乐谱URL,音频URL,地址URL
双叠翠,河南省,南阳市,,双叠翠（河南省大调曲子）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=97faadef-2f69-41d9-b4de-ed0a3b7488a1,https://china.rymusic.art/details/27826
双叠翠,河南省,南阳市,,双叠翠（河南省大调曲子）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=46e4f08a-bb8e-4d46-8550-8451e01e96c3,https://china.rymusic.art/dc/awtsupport/play/preview?pid=989944b3-8830-44aa-aab5-8995ac57da59,https://china.rymusic.art/details/31800
双叠翠,河南省,,,双叠翠（河南曲剧）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=fca6541b-53a8-4b3f-bfc7-21f7ff8f793b,,https://china.rymusic.art/details/31848
双叠翠,河南省,,,双叠翠（河南省大调曲子）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=15fa31b3-d3b3-4b05-808c-eb3f3d1a2dcd,,https://china.rymusic.art/details/31904
双叠翠,山东省,,,双叠翠（山东省南路山东琴书）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=dcc5c0d9-5f45-4e4d-83d7-33850cde2059,,https://china.rymusic.art/details/31826
鲜花调,江苏省,南京市,,鲜花调（江苏省南京市六合区民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=f5f05ae7-c81d-44df-b504-a1bb315b8517,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d1438259-ce49-437c-9aa8-8088504fdb8e,https://china.rymusic.art/details/31973
鲜花调,江苏省,徐州市,,鲜花调（江苏省徐州市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=32b3ecd8-7134-40d9-85e9-e556cf4533e1,,https://china.rymusic.art/details/31913
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=9f00b450-2bb4-43cf-a6c9-d18e1124ca94,https://china.rymusic.art/details/27835
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）2,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=0b75cc63-ef9a-49e3-9ac9-1d27c668fa28,https://china.rymusic.art/details/29432
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=5ad085a7-6eec-4922-a0e0-cac4e0b2998b,https://china.rymusic.art/dc/awtsupport/play/preview?pid=812c2ebb-6765-44bf-b45e-792c0d52d620,https://china.rymusic.art/details/31890
鲜花调,江苏省,苏州市,,鲜花调（江苏省苏州民歌）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6ea2f652-5003-46b1-881b-762b79e39554,,https://china.rymusic.art/details/31936
鲜花调,江苏省,苏州市,,鲜花调（江苏省苏州民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=f236e429-e53f-4a6f-bb60-e906310e9ec8,,https://china.rymusic.art/details/31851
鲜花调,江苏省,南京市,,鲜花调（江苏省南京市六合区民歌）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=67d39a72-a6d9-4d55-997e-975e14cde567,https://china.rymusic.art/details/27823
鲜花调,江苏省,,泗阳县,鲜花调（江苏省苏州民歌）4,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e15bdb28-3cbb-408c-bce4-8a7e100677e6,,https://china.rymusic.art/details/31869
鲜花调,江苏省,,泗阳县,鲜花调（江苏省泗阳县民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=00669874-cd66-445a-9f79-ea29c480a301,,https://china.rymusic.art/details/31930
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=4ce53693-d78e-44f9-aceb-00c7b5621bb2,https://china.rymusic.art/dc/awtsupport/play/preview?pid=bcb1a971-5f57-4cbf-aabd-59914e6dbfb2,https://china.rymusic.art/details/31815
鲜花调,江苏省,苏州市,,鲜花调（江苏省苏州民歌）3,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=ccf882ce-1e1e-4af8-b922-3383ad2ee0dc,,https://china.rymusic.art/details/31897
鲜花调,江苏省,扬州市,,鲜花调（江苏省扬州清曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a74040b8-db12-4eeb-9555-0332d391b7d9,,https://china.rymusic.art/details/31940
鲜花调,江苏省,扬州市,,老鲜花调（江苏省扬州清曲）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=1529b3f2-0e7b-4d4c-8c7a-3a8f4b92f666,https://china.rymusic.art/details/27827
鲜花调,江苏省,扬州市,,老鲜花调（江苏省扬州清曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=67c72b50-a047-4821-bc0a-c24b73633d6a,https://china.rymusic.art/dc/awtsupport/play/preview?pid=2783b649-40ac-4949-b118-64ea586d9c71,https://china.rymusic.art/details/31838
鲜花调,浙江省,台州市,天台县,鲜花调（一）（天台）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=2838e7d7-240b-4174-abdf-97e00907e9b1,https://china.rymusic.art/details/165191
鲜花调,浙江省,宁波市,余姚市,鲜花调（二）（余姚）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e3bfa406-49b5-4506-b87f-a5e3eefe3ce7,https://china.rymusic.art/details/165192
鲜花调,浙江省,衢州市,开化县,鲜花调（三）（开化）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=ba54f0b4-c7f8-4938-84d3-51dc32cfc589,https://china.rymusic.art/details/165193
鲜花调,浙江省,宁波市,慈溪市,踏青（一）（鲜花调）（慈溪）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=abe2f254-2876-4248-b338-ee30c960790f,https://china.rymusic.art/details/165196
鲜花调,浙江省,宁波市,,踏青（二）（鲜花调）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=eb2f8511-db46-4458-9970-fc8c52c16486,https://china.rymusic.art/details/165197
鲜花调,四川省,,,鲜花调（四川省四川清音）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=ba78bb23-999c-4b06-9aa1-27715b225561,,https://china.rymusic.art/details/31916
鲜花调,四川省,,,鲜花调（四川省文曲戏）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6af40a9b-9f1b-4575-8723-bd8b15c2cb41,,https://china.rymusic.art/details/31924
鲜花调,湖南省,常德市,,鲜花调（湖南省常德丝弦）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=602095d4-563c-49ac-99ca-a7ccd6bf839e,https://china.rymusic.art/details/27833
鲜花调,湖南省,常德市,,鲜花调（湖南省常德丝弦）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=23a074fb-27d3-4e52-af96-c6da84a6132f,https://china.rymusic.art/dc/awtsupport/play/preview?pid=40a3abd0-9d7f-4f60-b92e-b6a41c2555fd,https://china.rymusic.art/details/31847
鲜花调,北京市,北京市,,鲜花调（北京什不闲莲花落）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=4452c652-b3d8-48bf-88c1-e7a390b1b377,,https://china.rymusic.art/details/31799
鲜花调,北京市,北京市,,鲜花调（北京单弦）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=65ae41f4-4008-4e8f-992b-686bcf563bac,,https://china.rymusic.art/details/31854
鲜花调,湖北省,襄阳市,,鲜花调（湖北襄阳小曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=89113bc3-cacc-4fcf-871c-da93950346c9,,https://china.rymusic.art/details/31927
鲜花调,湖北省,荆门市,,鲜花调（湖北省荆门市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=281514b3-29cd-42be-bfda-cac711052007,,https://china.rymusic.art/details/31903
鲜花调,广西壮族自治区,北海市,,鲜花调（广西壮族自治区北海市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=7efc21b4-0723-496f-b8b7-1668a7b2d738,,https://china.rymusic.art/details/31801
鲜花调,山东省,临清市,,鲜花调（山东省临清琴曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d64fd182-f5c9-4c50-9c96-468cec029da9,,https://china.rymusic.art/details/31809
鲜花调,福建省,,长汀县,鲜花调（福建省长汀县小调）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=f16dae6c-94d8-4833-8196-ba9523448202,,https://china.rymusic.art/details/31873
茉莉花,江苏省,南京市,,茉莉花（江苏省南京市六合区民歌）3,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6f8127c1-3b3f-4605-984c-ddecc1c23f7b,,https://china.rymusic.art/details/31860
茉莉花,江苏省,扬州市,,半鲜花（江苏省扬州清曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=579d47ab-325b-4748-aa19-f0d4a94f125a,,https://china.rymusic.art/details/31976
茉莉花,江苏省,南京市,,茉莉花（江苏省南京市六合区民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=636469f6-5e00-43e0-bcf7-164dc1de3c53,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a312f351-450d-4310-80d4-ac9d3609398f,https://china.rymusic.art/details/31902
茉莉花,江苏省,南京市,,茉莉花（江苏省南京市六合区民歌）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=46f0bab4-b378-470c-a4b2-c694b4017c84,https://china.rymusic.art/details/27828
茉莉花,江苏省,,,茉莉花（民歌钢伴）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=759051f4-e868-4b33-a777-b7d9e166757a,,https://china.rymusic.art/details/20488
茉莉花,江苏省,南京市,,茉莉花（江苏省南京市六合区民歌）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=423ce3c8-a130-4c42-bafa-c68473e45b28,,https://china.rymusic.art/details/31920
茉莉花,江苏省,兴化市,,茉莉花（江苏省兴化市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=1ff4b590-1129-4f74-b3fd-8e38bf79f175,,https://china.rymusic.art/details/31954
茉莉花,河北省,,,茉莉花（落子）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6ce5b426-ab69-4557-b89c-6cd8a6206d4c,,https://china.rymusic.art/details/141603
茉莉花,河北省,保定市,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》工尺谱念谱1）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a962cd11-0788-4610-98df-354dd2b51d38,https://china.rymusic.art/details/18351
茉莉花,河北省,保定市,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》演奏曲2）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=b3f69496-c277-4990-ae74-2a30bdd197a5,https://china.rymusic.art/details/27824
茉莉花,河北省,保定市,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》工尺谱念谱2）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=bbce09ff-0f7d-454e-ba22-a55cb5106060,https://china.rymusic.art/details/27825
茉莉花,河北省,保定市,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》演奏曲1）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a393eac2-e882-42a5-93c8-9e9506866840,https://china.rymusic.art/details/27829
茉莉花,河北省,秦皇岛市,昌黎县,茉莉花（河北省昌黎县民歌）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=38dd67d4-0503-4ed8-b054-421e01ca5b82,https://china.rymusic.art/details/27831
茉莉花,河北省,秦皇岛市,昌黎县,茉莉花（河北省昌黎县民歌）2,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6276a9e3-9add-4940-adb8-dbdda7ca2cc6,https://china.rymusic.art/details/27834
茉莉花,河北省,秦皇岛市,昌黎县,茉莉花（河北省昌黎县民歌）4,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=18599e5f-8935-4d29-b3ad-0db2b0c2592c,,https://china.rymusic.art/details/29433
茉莉花,河北省,秦皇岛市,昌黎县,茉莉花（河北省昌黎县民歌）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e6e0472c-064f-44e9-8f9f-481e60599fa2,https://china.rymusic.art/dc/awtsupport/play/preview?pid=205175c2-55f0-4208-9af2-b5263bbe81dd,https://china.rymusic.art/details/31796
茉莉花,河北省,定州市,,茉莉花（河北省定州唢呐曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=ae5c235b-f649-4416-852b-080956269d8b,,https://china.rymusic.art/details/31814
茉莉花,河北省,,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》韵唱2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a24090a2-4a65-4845-addd-01fcd4655eea,,https://china.rymusic.art/details/31816
茉莉花,河北省,,,一朵茉莉花（河南省商城民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=746ef9b6-a5cd-4efb-92b7-e6fae2b0a87f,,https://china.rymusic.art/details/31878
茉莉花,河北省,,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》韵唱,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d4b18e73-c556-4a38-a77c-05eef6f1f253,,https://china.rymusic.art/details/31889
茉莉花,河北省,,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》演奏曲2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=8b264f9e-2737-4e1f-b5e7-c40413510167,,https://china.rymusic.art/details/31898
茉莉花,河北省,秦皇岛市,昌黎县,茉莉花（河北省昌黎县民歌）3,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d55fa3ef-914e-46ab-a890-909556684028,,https://china.rymusic.art/details/31901
茉莉花,河北省,,,茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》演奏曲,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=be51ffd2-aefc-44a5-b304-15167bd9a543,,https://china.rymusic.art/details/31906
茉莉花,河北省,秦皇岛市,昌黎县,茉莉花（河北省昌黎县民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=c6a91891-e34d-449a-8f59-3f842527ce07,https://china.rymusic.art/dc/awtsupport/play/preview?pid=c976a771-b88b-4e04-bb62-4a63354b256d,https://china.rymusic.art/details/31942
茉莉花,河北省,,,北张村南乐会演奏：【茉莉花】等,视频,,,https://china.rymusic.art/details/31974
茉莉花,河北省,,,赵岗村音乐会演奏：【茉莉花】,视频,,,https://china.rymusic.art/details/158815
茉莉花,河南省,南阳市,,四股绳（河南曲剧）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e89f1418-6070-483b-8235-19849998ace1,https://china.rymusic.art/details/139871
茉莉花,河南省,,,两句半（河南省丝弦小曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=61bdcd75-44db-4be0-8e1f-ae5d14155649,,https://china.rymusic.art/details/27821
茉莉花,河南省,,,四股绳（河南省大调曲子）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=b27336e8-c08e-4091-bd3e-a744be67d6fc,,https://china.rymusic.art/details/31810
茉莉花,河南省,南阳市,邓州市,节节高（河南省邓州市大调曲子）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e9944176-f588-47c9-92a1-6781669ca005,,https://china.rymusic.art/details/31813
茉莉花,河南省,,固始县,茉莉花调（河南省固始县民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e5bfd922-6d25-4351-ab6a-e326f1d925ce,,https://china.rymusic.art/details/31866
茉莉花,河南省,南阳市,,四股绳（河南曲剧）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=3dfdefc3-c5ba-4778-85db-3006147f7e63,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a6df9958-35f1-406c-86ab-65f34c545df1,https://china.rymusic.art/details/31894
茉莉花,山西省,晋中市,,茉莉花,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=c467a77d-4ba6-4816-9a74-7ab7e5ee925d,https://china.rymusic.art/details/31896
茉莉花,山西省,晋中市,,茉莉花,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=804f8dc8-a910-49d7-8e1e-cca044f91078,https://china.rymusic.art/details/141762
茉莉花,山西省,晋中市,,茉莉花,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=05e2e177-751f-40d9-8d11-61e6363c951e,https://china.rymusic.art/details/139461
茉莉花,山西省,晋中市,,茉莉花,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=93768c39-588c-4be8-8205-dab50d0e37f8,https://china.rymusic.art/details/139320
茉莉花,山西省,,,茉莉花（器乐）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=0d2714ae-9782-4309-8caf-88e3e92ebf63,,https://china.rymusic.art/details/139042
茉莉花,山西省,晋中市,,茉莉花（山西省山西八大套）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=f4985b98-c879-497c-bd80-3ec56ff493a1,https://china.rymusic.art/details/28535
茉莉花,山西省,,,茉莉花（山西省永济道情器乐曲牌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=439837f9-da3b-4f48-880c-60c3e1e43134,,https://china.rymusic.art/details/27832
茉莉花,山西省,运城市,河津市,茉莉花（山西省河津丧葬锣鼓）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=89e44c1c-3051-4110-9c4a-d6f3fffe347d,https://china.rymusic.art/details/31979
茉莉花,山西省,晋中市,,茉莉花（山西省山西八大套）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=2c621f38-334c-4de7-b647-280e134e4ab0,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6372ed58-c62c-4c49-b596-2746b9f8c926,https://china.rymusic.art/details/27836
茉莉花,山西省,运城市,河津市,茉莉花（山西省河津丧葬锣鼓）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=f210caf1-ee50-421c-88d9-88684c91dd0c,https://china.rymusic.art/dc/awtsupport/play/preview?pid=7ac48773-60a0-47d6-97b8-040841ce6cd2,https://china.rymusic.art/details/31882
茉莉花,山东省,济南市,,采茶儿（山东省聊斋俚曲）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=115db1b3-a682-4fa6-bf91-8cacb0562649,https://china.rymusic.art/details/31905
茉莉花,山东省,胶州市,,茉莉花（山东省胶州八角鼓）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=271abc48-edd6-4ad5-94ac-9ad33777ec19,,https://china.rymusic.art/details/27830
茉莉花,山东省,,,单叠翠（山东省南路山东琴书）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=672439f7-6488-4879-bfe5-c039251b2759,,https://china.rymusic.art/details/31934
茉莉花,山东省,济南市,,采茶儿（山东省聊斋俚曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=8d807da8-488f-46c7-bc04-86142c5f423f,https://china.rymusic.art/dc/awtsupport/play/preview?pid=fe0a12de-7f99-4900-bc27-397ea93d1562,https://china.rymusic.art/details/31950
茉莉花,吉林省,四平市,,茉莉花（吉林省四平市、白城市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=ff15d6bd-7a33-4e49-8614-d3ba076e1611,,https://china.rymusic.art/details/31981
茉莉花,吉林省,长春市,,茉莉花（吉林省二人转）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=3ac06251-f6ef-4002-8afd-903ae16aae3b,https://china.rymusic.art/details/31917
茉莉花,吉林省,长春市,,茉莉花（吉林省二人转）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=e4d332e0-2087-4660-8e1b-3c607f73cb76,https://china.rymusic.art/dc/awtsupport/play/preview?pid=946a496f-dfdf-4639-922b-faf568d0c15a,https://china.rymusic.art/details/27822
茉莉花,吉林省,,梨树县,茉莉花（吉林省梨树县民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=33f0c837-5770-405b-b492-011de7163e9a,,https://china.rymusic.art/details/31943
茉莉花,黑龙江省,,,茉莉花调（黑龙江帽腔）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=87f2dc28-49a2-4329-bbe8-078813228079,,https://china.rymusic.art/details/31969
茉莉花,黑龙江省,哈尔滨市,,茉莉花（黑龙江省哈尔滨市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=cdba7498-9c11-48ca-8faf-a3cec0accf67,,https://china.rymusic.art/details/31911
茉莉花,黑龙江省,,,茉莉花调（黑龙江帽腔）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d48a1871-cb6e-460b-9e2f-b53c048b1443,,https://china.rymusic.art/details/31880
茉莉花,黑龙江省,齐齐哈尔市,,茉莉花（黑龙江省齐齐哈尔市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d705549b-51f9-4506-b08f-9c58ca8ed84f,,https://china.rymusic.art/details/31944
茉莉花,黑龙江省,讷河市,,茉莉花（黑龙江省讷河市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=46183d89-fb37-4455-9c47-66fcefcb5a76,,https://china.rymusic.art/details/31961
茉莉花,湖北省,,,茉莉花（湖北小曲）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=a1a7c529-b741-424e-8201-97ba2d66ccad,,https://china.rymusic.art/details/31822
茉莉花,四川省,,,茉莉花（四川省四川扬琴）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=527c050d-7287-4e57-ba45-0bc1b0dabf89,,https://china.rymusic.art/details/31893
茉莉花,辽宁省,锦州市,,茉莉花（辽宁省锦州黑山县二人转）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=73fc14eb-0cd3-476f-bc21-6efd853d003d,,https://china.rymusic.art/details/31825
茉莉花,辽宁省,铁岭市,,茉莉花（辽宁省铁岭市二人转）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=c7521fa9-6090-419f-8fcc-675b9dcae75d,https://china.rymusic.art/details/31922
茉莉花,辽宁省,铁岭市,,茉莉花（辽宁省铁岭市二人转）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=c7ae36a6-ceda-4fc7-9c7b-1ef9857264d9,https://china.rymusic.art/dc/awtsupport/play/preview?pid=4b01cc59-8f4f-4277-92a1-a582ed2e3523,https://china.rymusic.art/details/27820
茉莉花,云南省,昆明市,,栽秧调,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=19623052-cf94-456c-9507-9639786bff57,https://china.rymusic.art/details/31817
,,,,,,,,https://china.rymusic.art/details/141605
